t,e,x,t,",",p,o,l,a,r,i,t,y,",",s,u,b,j,e,c,t,i,v,i,t,y
"b'RT @EdKrassen: Remember the story of ""Katie Johnson"" who claimed that Trump raped her when she was 13 and then threatened to destroy her an\xe2\x80\xa6'",-0.2,0.0
b'RT @GordoGeek: Os chineses t\xc3\xa3o comprando a porra toda mesmo. S\xc3\xb3 n\xc3\xa3o compram + pq o Trump n\xc3\xa3o deixa.\n\nPagaram quase 1 bilh\xc3\xa3o na Belkin e tod\xe2\x80\xa6',0.0,0.0
"b'I liked a @YouTube video https://t.co/ZWNwUOKRSb So Much News, So Little Time: Trump Edition | The Daily Show'",0.153125,0.375
"b""RT @krassenstein: This is yet another young man who attended DC's MarchForOurLives.\n\nThis is also Trump's Son-in-law, Jared Kusher's younge\xe2\x80\xa6""",0.1,0.4
b'RT @liloneami: The FBI agent characterized the incident as \xe2\x80\x9covert\xe2\x80\x9d extortion. https://t.co/pHex3MCA23 via @jasonleopold',0.0,0.0
"b'RT @JE0NBUNNY: ""So despite what\xc2\xa0anyone might think...when it comes to Twitter, it\'s actually BTS\' world. You\'re just living in it, Donald (\xe2\x80\xa6'",0.0,0.1
b'RT @jdolan2020: \xf0\x9f\x92\xa5Never Underestimate Donald J. Trump\xe2\x80\xbc\xef\xb8\x8f   Hannity on radio is reporting that our Commander in Chief will be reallocating eno\xe2\x80\xa6',0.0,0.0
"b""RT @PrisonPlanet: Retweet if you're a Trump supporter who couldn't give a flying f**k about Stormy Daniels. #StormyDanielsDay""",0.0,0.0
"b""RT @a_lesbian_girl: RT if:\n- you hate Donald trump\n- you're gay\n- you have a talent\n- you want sex\n- you want more gay friends \n- you hate\xe2\x80\xa6""",0.13333333333333333,0.6416666666666667
"b'RT @Lrihendry: When Larry Sinclair told of his affair with Obama, he was arrested by Washington, D.C. police after he did a press conferenc\xe2\x80\xa6'",0.0,0.0
"b'RT @irishrygirl: Raise your hand if you\xe2\x80\x99re excited for a man who used to spend $100k/mnth on coke, will now be advising Trump on how to spe\xe2\x80\xa6'",0.375,0.75
b'RT @MauriceMichael: I miss the days when Twitter was focused on GOP plans to take health care away from millions. Instead Trump has changed\xe2\x80\xa6',0.0,0.0
b'RT @LandonHall: @shannonrwatts The only people screeching about amending the Constitution \xe2\x80\x94 presumably to delete the Second Amendment \xe2\x80\x94 are\xe2\x80\xa6',0.0,0.5
"b'@RochelleJenkins @shanelandry1983 @SarahBCalif @realDonaldTrump I\'m not the one professing to be a ""Christian"" and\xe2\x80\xa6 https://t.co/Cqk1f7OQPu'",0.0,0.0
"b""RT @FiveRights: Obama is worse than a felon.\nHe's an actual traitor.\nHe deliberately poisoned race relations.\nHe refused to wipe out ISIS (\xe2\x80\xa6""",-0.2,0.35
b'RT @PalmerReport: Donald Trump\xe2\x80\x99s day so far:\n\n- Trump took UAE bribe\n- Robert Mueller targeting RNC \n- Trump worried about Rick Gates\n- Sto\xe2\x80\xa6',0.1,1.0
"b""RT @funder: It's Official: The #MarchForOurLives had a bigger crowd size than Trump's inauguration. That's how #TheResistance rolls! \xf0\x9f\x87\xba\xf0\x9f\x87\xb8http\xe2\x80\xa6""",0.0,0.5
"b'RT @SwampyTrump: You know Stormy\xe2\x80\x99s lawyer is driving @potus Forbes McSpanky Bottom batshit crazy with all his TV appearances, which is exac\xe2\x80\xa6'",-0.6,0.9
"b'RT @GeorgiaDirtRoad: Actor Clint Eastwood Makes Massive Announcement: \xe2\x80\x9cHollywood Is The Place Of Traitors And Pedophilians, This Morning I\xe2\x80\x99\xe2\x80\xa6'",0.0,1.0
"b'RT @SethAbramson: FACTS:\nNYT\xe2\x80\x94Trump has known Bannon since 2011, when Trump was considering a run. Bossie made the intro. ""They definitely h\xe2\x80\xa6'",0.0,0.5
b'RT @jkarsh: Donald Trump and the Republican Party never cared about you. They simply played on your fears and used you. #TheMoreYouKnow\xf0\x9f\x92\xab ht\xe2\x80\xa6',0.0,0.35714285714285715
b'@anradila17 @pammyc1 @realDonaldTrump Obama \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82......Trump is putting that clown to shame in every way possible.',0.0,1.0
"b""RT @FiveRights: Obama is worse than a felon.\nHe's an actual traitor.\nHe deliberately poisoned race relations.\nHe refused to wipe out ISIS (\xe2\x80\xa6""",-0.2,0.35
b'@RVAwonk Trump is building a Mafioso organization as if his life depends on it. It does.',0.0,0.0
b'RT @PalmerReport: Fact check: is Donald Trump the father of Stormy Daniels\xe2\x80\x99 daughter? https://t.co/3c4LuMnd9S',0.0,0.0
"b'RT @mitchellvii: So now the stock market believes there WON\'T be a #TradeWar with China?\n\nDemocrats behind closed doors: ""How the hell does\xe2\x80\xa6'",-0.25,0.39999999999999997
b'RT @SenatorMenendez: The federal census is NOT a tool to rally the President\xe2\x80\x99s base. It\xe2\x80\x99s a constitutionally mandated count of every single\xe2\x80\xa6',-0.8,1.0
"b""RT @Golfman072: Weekly tracking poll of President of the United States of America. \xc2\xa0How would you rate President Trump's performance for th\xe2\x80\xa6""",0.0,0.0
"b'RT @SethAbramson: FACTS:\nNYT\xe2\x80\x94Trump has known Bannon since 2011, when Trump was considering a run. Bossie made the intro. ""They definitely h\xe2\x80\xa6'",0.0,0.5
"b'RT @AdamsFlaFan: Analysis | Trump has a secret plan to evade the Constitution and create a line-item veto, apparently https://t.co/lP8iD0s4\xe2\x80\xa6'",-0.17500000000000002,0.5249999999999999
"b""RT @abdullahciftcib: 31-ABD'nin taraflar\xc4\xb1\n1- Trump'un arkas\xc4\xb1ndakiler = Evanjelikler+Siyonistler+Silah Lobisi + Nazi-Irk\xc3\xa7\xc4\xb1lar + Amerikan Mil\xe2\x80\xa6""",0.0,0.0
"b""what a great way to turn the American public against Trump, by broadcasting images of the hot women he's smashed. W\xe2\x80\xa6 https://t.co/HxhkybFjgg""",0.2625,0.4166666666666667
"b'RT @SethAbramson: FACTS:\nNYT\xe2\x80\x94Trump has known Bannon since 2011, when Trump was considering a run. Bossie made the intro. ""They definitely h\xe2\x80\xa6'",0.0,0.5
"b""RT @funder: It's Official: The #MarchForOurLives had a bigger crowd size than Trump's inauguration. That's how #TheResistance rolls! \xf0\x9f\x87\xba\xf0\x9f\x87\xb8http\xe2\x80\xa6""",0.0,0.5
"b""RT @GregNorberg: [NO WONDER THEY\xe2\x80\x99RE FIGHTING EVERYTHING TRUMP TRIES!]\n\nTHIS IS HOW YOU FIX CONGRESS! Trump's working on it at his desk.""",-0.453125,0.7
"b'RT @tonyposnanski: Dear CNN,\n\nWith all due respect I don\xe2\x80\x99t care about Conservative Christian Women\xe2\x80\x99s opinion of Stormy Daniels...WHO HAS A\xe2\x80\xa6'",-0.0625,0.1875
b'RT @RealJack: Many reports the Florida shooter was badly bullied at school...\n\nNot surprised considering David Hogg has done nothing but in\xe2\x80\xa6',-0.08333333333333327,0.6888888888888888
"b'RT @SethAbramson: FACTS:\nNYT\xe2\x80\x94Trump has known Bannon since 2011, when Trump was considering a run. Bossie made the intro. ""They definitely h\xe2\x80\xa6'",0.0,0.5
"b'RT @VP: Excited to meet with families in Fargo, North Dakota tomorrow as we continue delivering the message that the TRUMP TAX CUTS are WOR\xe2\x80\xa6'",0.375,0.75
"b'RT @nkjemisin: Trump supporters want to *be* him. They covet his privileges. They want to be able to steal, assault, exploit, &amp; brag like h\xe2\x80\xa6'",0.5,0.625
"b'@biannagolodryga ""Wouldn\'t be great if we got along with Russia?""   Trump is like the pot smoker in the office who\xe2\x80\xa6 https://t.co/NFbBhSiZzW'",0.8,0.75
"b""RT @Zigmanfreud: Liberals still consistently playing right into Trump's hands since about 2011... https://t.co/whjKZMqrNZ""",0.26785714285714285,0.39285714285714285
b'RT @HispanicCaucus: Including a citizenship question in the #2020Census only serves to suppress participation &amp; will result in inaccurate d\xe2\x80\xa6',0.0,1.0
"b'RT @SethAbramson: FACTS:\nNYT\xe2\x80\x94Trump has known Bannon since 2011, when Trump was considering a run. Bossie made the intro. ""They definitely h\xe2\x80\xa6'",0.0,0.5
"b""RT @JustSchmeltzer: @mitchellvii LOL in Christianity, forgiveness isn't handed out like candy, you bozo. One must ASK for it and show contr\xe2\x80\xa6""",0.8,0.7
"b""RT @AltCyberCommand: But of all of the information I've collected \xe2\x80\x93 even the smoking-gun domain/PAC registration data and archives of their\xe2\x80\xa6""",0.0,0.0
b'RT @ObamaMalik: .@BlakVotesMatter\xc2\xa0Get off that rhetoric my brother. Mr. Trump will be the Greatest President ever and will do more for Blac\xe2\x80\xa6',0.75,0.75
"b""RT @nickiknowsnada: Wow. Not one person from the Trump family tweeted about the impact &amp; bravery of country's future leaders at #MarchForOu\xe2\x80\xa6""",0.05,0.5625
b'Shit happens....\n\n(we all knew how much of a #conman tRump is) https://t.co/DU6rUPfb36',0.0,0.5
b'RT @funder: Please stop acting like Jared Kushner\xe2\x80\x99s brother Josh is a progressive. Here\xe2\x80\x99s video of him palling around at the Trump White Ho\xe2\x80\xa6',0.0,0.0
"b""RT @MichaelAvenatti: Stormy's lawyer wields another email in battle against Trump, Cohen https://t.co/PzTsj7wQ5T via @nbcnews""",0.0,0.0
b'RT @tribelaw: Trump\xe2\x80\x99s tweet implying taxpayers are paying his legal team cd be a Freudian slip of the twitter finger revealing a backchanne\xe2\x80\xa6',0.2,0.2
b'RT @bocavista2016: THINK\n\nDems have been on a crusade to defund our Military for DECADES\n\nBut suddenly approve $700 BIL for Military spendi\xe2\x80\xa6',-0.06666666666666667,0.2333333333333333
"b'RT @ProPublica: A few months ago, we reported that the Trump Justice Department was pushing for a citizenship question to be added to the 2\xe2\x80\xa6'",-0.2,0.1
b'RT @Estherkofod: Evangelical hypocrites who say Trump has found Jesus.\nSure he has...\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3 https://t.co/gbkXKVVcPw',0.5,0.8888888888888888
b'@MSN Let TRUMP Be TRUMP !',0.0,0.0
"b'RT @IndivisibleTeam: After failing to check Trump\xe2\x80\x99s war powers, the Senate should now focus on their next crucial task: voting down the nom\xe2\x80\xa6'",-0.051851851851851864,0.42962962962962964
b'RT @Save_America4US: OH PLEASE Be true\xe2\x80\xbc\xef\xb8\x8f \nGo crawl back under your rock @SpeakerRyan \nYou have done more harm to our democracy than any oth\xe2\x80\xa6',0.25,0.25
"b'RT @RVAwonk: Devin Nunes\' work running interference for Trump in the ongoing Russia probe ""has provoked a real threat back home,"" making Nu\xe2\x80\xa6'",0.1,0.15000000000000002
b'RT @DevinNunes: Fake News exposed again by @ByronYork...Clinton machine spreading disinformation to continue Russia conspiracy theories htt\xe2\x80\xa6',-0.5,1.0
"b'RT @ANTlTRUMPMVMT: @ANTITRUMPMVMT, @ANTIGOPMVMT, @ANTlTRUMPMVMT &amp; @ANTlGOPMVMT: A Global Anti-Trump Mvmt \xe2\x80\xa2 https://t.co/wg6qowyd90 \xe2\x80\xa2 https:\xe2\x80\xa6'",0.0,0.0
"b'RT @djf510: Ya know, the only way I may back peddle on Trump is if I find out he slept with Hillary Clinton. That is unforgivable. \xf0\x9f\x98\x9c'",0.0,0.5
"b'RT @Amy_Siskind: Next time the Evangelical leaders want to judge us for our sexual orientation or right to control our body, remind them th\xe2\x80\xa6'",0.2619047619047619,0.45634920634920634
"b""RT @MrFilmkritik: When Obama was in office in 2011, only 30% of evangelicals told pollsters they would forgive a president's immoral behavi\xe2\x80\xa6""",0.0,1.0
"b'RT @AMErikaNGIRLBOT: \xe2\x80\x9cI saw first hand how the kids are being groomed to become activists and how absolutely intolerant, violent and obscen\xe2\x80\xa6'",-0.11666666666666668,0.7444444444444445
b'RT @BillOReilly: President Trump under fire from conservatives after he signed the massive federal spending bill.  Meantime Wall Street is\xe2\x80\xa6',0.0,1.0
b'RT @treasonstickers: 94% of evangelicals mentioned Bill Clinton\xe2\x80\x99s affair every day for 20 years and then stopped talking about it on the sa\xe2\x80\xa6',0.0,0.0
"b""RT @TheAlexanderJJ: rt if you're trans\nrt if you're lgbt+ community \nrt if you support trans rights\nrt if we should throw trump in a volcan\xe2\x80\xa6""",0.0,0.0
"b'RT @SethAbramson: FACTS:\nNYT\xe2\x80\x94Trump has known Bannon since 2011, when Trump was considering a run. Bossie made the intro. ""They definitely h\xe2\x80\xa6'",0.0,0.5
"b'RT @mitchellvii: Public Trump: ""Oh please don\'t make me sign this awful Omnibus!""\n\nPrivate Trump: ""I\'m gonna build the hell out of my wall\xe2\x80\xa6'",-0.3333333333333333,0.48055555555555557
b'RT @SiddonsDan: \xe2\x80\x9cI\xe2\x80\x99m honored to serve as President Trump\xe2\x80\x99s Nat\xe2\x80\x99l Security Advisor. The United States currently faces a wide array of diffic\xe2\x80\xa6',-0.05,0.4
"b'RT @BettyBowers: How do we know Stormy Daniels is telling the truth?  Because Trump sued her for breach of the agreement to keep quiet, not\xe2\x80\xa6'",0.0,0.3333333333333333
"b'RT @HoarseWisperer: Jesus H. Christmas Cookies, .@CNN.\n\nStop with these stupid panels of women who voted for Trump.\n\nThe host could bring i\xe2\x80\xa6'",-0.7999999999999999,1.0
b'RT @FoxNews: Stuart Varney: \xe2\x80\x9cPresident Trump has a consistent style. He negotiates\xe2\x80\xa6and that\xe2\x80\x99s exactly what he\xe2\x80\x99s done with China.\xe2\x80\x9d https://t\xe2\x80\xa6',0.25,0.25
b'RT @funder: You can listen to my special report on Trump\xe2\x80\x99s crazy terrible no good very bad weekend on iTunes via the link below. #DworkinRe\xe2\x80\xa6',-0.5005714285714286,0.7876190476190477
b'Gorka: Everything Trump has done as president hurts Russia https://t.co/7FQDy761Bh via @YouTube',0.0,0.0
"b""RT @jacksnowknows: \xe2\x98\x8e\xef\xb8\x8fcall your MoCs\xe2\x98\x8e\xef\xb8\x8f\n\nDenounce Trump's Ban on Transgender Troops\n\nhttps://t.co/8diRWYtMQW""",0.0,0.0
"b'RT @3cutebabies: It is Monday, March 26, 2018. One Single Citizen, I Angrily &amp; Rightfully call for the Resignation of Donald J Trump as Pre\xe2\x80\xa6'",-0.2857142857142857,0.6071428571428571
b'RT @ACLU: The Trump administration is undermining the 2020 Census with its anti-immigrant agenda. \n\nUndercounting communities with large im\xe2\x80\xa6',0.21428571428571427,0.42857142857142855
"b""RT @funder: It's Official: The #MarchForOurLives had a bigger crowd size than Trump's inauguration. That's how #TheResistance rolls! \xf0\x9f\x87\xba\xf0\x9f\x87\xb8http\xe2\x80\xa6""",0.0,0.5
b'RT @linacantalupa: @AC360 @randikayeCNN These \xe2\x80\x9cChristian\xe2\x80\x9d women are truly sad and hypocritical. Shouldn\xe2\x80\x99t they have a portrait of Jesus on\xe2\x80\xa6',-0.25,0.5
"b""RT @sputnik_TR: Bozda\xc4\x9f: Trump, Cumhurba\xc5\x9fkan\xc4\xb1m\xc4\xb1za, 'Biz size patriot verebiliriz' deyince, Say\xc4\xb1n Cumhurba\xc5\x9fkan\xc4\xb1m\xc4\xb1z da 'Biz de hava savunma si\xe2\x80\xa6""",0.0,0.0
"b'When #Trump met #Stormy, she said he talked about himself. She asked, ""Does this work for you?"" Every fool knows to\xe2\x80\xa6 https://t.co/CpHNb5fD8D'",0.0,0.0
b'@Ducky77972120 @psgent92264 @Kokomothegreat @Beverly21811568 You can ride your little trump train back to the hellh\xe2\x80\xa6 https://t.co/FRqJfXM7HN',-0.09375,0.25
"b'RT @SLSmith000: Stormy Daniels and Donald Trump, brought to you by Mike Pence and the religious right https://t.co/Ve5WdB0dki'",0.14285714285714285,0.39285714285714285
"b'@gloriafied @Randy11838082 @Pol_PoTrump @American_Guy_NY @JackPosobiec @realDonaldTrump Yeah, it\'s not the ""from ca\xe2\x80\xa6 https://t.co/UEXJ11kLXx'",0.0,0.0
b'RT @LauraLoomer: BREAKING: Newly released screenshots of a Facebook conversation between #StormyDaniels and a friend shows she denied ever\xe2\x80\xa6',0.13636363636363635,0.45454545454545453
b'One of the many reasons Donald Trump has decided to cut financial aid to Pakistan https://t.co/irZX3CBlbp via @barenakedislam',0.25,0.25
"b""Trump opens a new front in his successful dismantling of Obama's climate-change rules, @yayitsrob writes https://t.co/PwcDusyC7V""",0.4431818181818182,0.7022727272727273
"b'RT @thehill: Jimmy Carter torches Trump\'s decision to hire John Bolton as his ""worst mistake"" yet https://t.co/0KiisEuqpW https://t.co/Tuw9\xe2\x80\xa6'",-1.0,1.0
"b""RT @MrFilmkritik: When Obama was in office in 2011, only 30% of evangelicals told pollsters they would forgive a president's immoral behavi\xe2\x80\xa6""",0.0,1.0
"b'RT @NormEisen: NEW: the #Stormy interview was a MUCH bigger deal legally than people realize, and not just because of campaign finance issu\xe2\x80\xa6'",0.11212121212121212,0.38484848484848483
"b""RT @MrFilmkritik: When Obama was in office in 2011, only 30% of evangelicals told pollsters they would forgive a president's immoral behavi\xe2\x80\xa6""",0.0,1.0
b'RT @Shareblue: Trump admin deported an Army veteran with PTSD who came to the US at age 8 https://t.co/rflaxakBlY',0.0,0.0
"b'RT @colbertlateshow: Hmmmm\xe2\x80\xa6.a couple of spanks and Donald Trump started acting more appropriate. John Kelly, you know what to do. #LSSC htt\xe2\x80\xa6'",0.3333333333333333,0.3333333333333333
"b""RT @thebradfordfile: Things that will sink Trump:\n1. Hillary's FBI\n2. Dem voting fraud\n3. The Tape\n4. Tax returns\n5. Dem memo\n6. NFL player\xe2\x80\xa6""",0.0,0.0
"b""RT @IndivisibleNet: Since Trump doesn't want to go to the White House Correspondents Dinner this year, how many of you would love to see Al\xe2\x80\xa6""",0.3333333333333333,0.3666666666666667
b'RT @CudaDebbie: \xf0\x9f\x94\xa5QUESTION OF THE DAY\xf0\x9f\x94\xa5\n\nDo you honestly care if Trump engaged in sexual activities with other consenting adult women before\xe2\x80\xa6',0.26875000000000004,0.6020833333333333
b'RT @jonlovett: That\xe2\x80\x99s a perfect fact to make Trump lose his mind. https://t.co/vpC9QqiBS1',1.0,1.0
"b""RT @RealSaavedra: #BREAKING: California AG Xavier Becerra says he's filing a lawsuit against Trump admin over citizenship question on 2020\xe2\x80\xa6""",0.0,0.0
